id_rank,CREDIT_FLAG,AGE,mobile_fixed_days,adr_stability_days,consume_steady_byxs_1y,use_mobile_2_cnt_1y,activity_area_stability,last_1y_total_active_biz_cnt,have_car_flag,have_fang_flag,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,avg_puc_sdm_last_1y,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,positive_biz_cnt_1y,ovd_order_cnt_1m,ovd_order_amt_1m,ovd_order_cnt_3m,ovd_order_amt_3m,ovd_order_cnt_6m,ovd_order_amt_6m,ovd_order_cnt_12m,ovd_order_amt_12m,ovd_order_c0t_3m_m1_status,ovd_order_c0t_6m_m1_status,ovd_order_c0t_12m_m1_status,ovd_order_c0t_12m_m3_status,ovd_order_c0t_12m_m6_status,ovd_order_c0t_21_m3_status,ovd_order_c0t_21_m6_status,ovd_order_c0t_51_m3_status,ovd_order_c0t_51_m6_status,relevant_stability,sns_pii
19244,1,29,2,5,9,2,4,4,1,2,2,2,2,2,2,3,5,4,5,7,1,8,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,3
19585,1,28,8,4,2,1,4,9,1,1,6,6,7,5,7,6,7,5,7,7,2,5,8,8,1,1,2,3,3,3,3,9,8,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,6
20208,1,29,9,6,9,2,4,10,2,2,7,6,6,6,9,9,9,5,5,8,1,5,9,8,1,1,3,5,7,9,7,9,9,7,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,7
545,1,45,2,1,1,2,1,2,1,1,1,1,1,1,3,5,8,1,1,1,1,1,1,1,1,1,1,10,7,5,4,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,1
22238,-1,32,4,2,10,3,4,7,2,1,4,5,5,4,6,7,8,4,5,7,1,6,5,4,4,5,5,2,2,2,2,2,3,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,5
3539,1,25,9,3,5,2,8,8,2,1,6,6,6,6,9,9,9,9,9,8,1,5,6,8,2,3,3,8,7,7,6,9,6,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,7
23967,-1,33,2,2,4,3,4,9,2,2,3,3,3,3,10,10,11,8,9,7,3,4,5,6,2,4,5,2,4,4,4,8,7,4,2,1,1,3,4,3,4,3,4,1,1,1,0,0,0,0,0,0,9,8
24533,-1,27,7,4,5,2,4,10,1,1,2,2,2,3,5,5,6,8,8,9,1,3,8,7,2,4,4,2,2,2,2,6,5,7,1,1,1,3,2,4,3,5,11,1,1,1,0,0,0,0,0,0,8,7
6481,1,47,8,6,8,1,10,8,2,2,7,7,7,7,9,9,9,11,12,12,6,8,9,10,2,2,2,4,3,2,2,3,5,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,5
7299,1,25,9,7,4,1,2,7,2,2,3,3,3,4,8,7,7,6,6,6,1,7,5,8,1,1,2,4,3,3,3,10,7,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,4
