id_rank,CREDIT_FLAG,AGE,adr_stability_days,consume_steady_byxs_1y,last_1y_total_active_biz_cnt,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,relevant_stability,sns_pii,use_mobile_2_cnt_1y,activity_area_stability,positive_biz_cnt_1y
11406,1,21,2,6,5,4,4,2,3,4,5,4,5,6,7,3,9,8,1,2,2,1,1,1,1,1,1,1,9,6,1,3,2
12581,1,40,9,10,7,9,9,9,9,3,3,3,4,4,4,4,6,5,2,2,3,1,1,1,1,1,1,1,3,3,2,3,2
14275,1,37,4,4,6,3,2,2,4,6,7,8,4,5,6,5,8,9,2,2,2,1,2,4,6,7,6,5,8,8,1,3,1
14382,1,26,4,8,8,5,5,5,5,13,11,11,14,11,10,8,6,6,1,1,2,1,1,1,1,1,6,5,5,9,2,3,2
14773,1,29,1,4,3,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,3,2,2,2,2,3,3,2,3,2,1,1
15290,1,19,3,7,8,7,7,7,5,5,6,5,6,7,7,2,10,8,1,2,2,1,1,1,1,1,1,1,9,6,3,4,2
16893,1,32,4,3,8,13,14,15,12,15,15,15,6,2,5,10,6,9,1,1,2,1,1,1,2,4,3,1,9,8,2,2,2
20192,1,39,5,9,5,2,2,2,2,2,2,5,2,2,3,5,4,5,1,1,1,1,1,1,3,6,5,5,7,1,1,3,1
21171,0,36,2,3,8,4,5,4,4,7,7,8,5,4,6,3,6,6,2,4,4,3,4,5,5,10,6,3,8,2,2,2,2
707,1,29,10,3,10,15,15,11,13,8,8,8,10,10,11,4,9,10,1,2,2,10,10,10,10,10,9,8,5,7,2,3,3
22572,0,46,1,9,5,2,2,2,2,5,6,8,6,7,9,9,3,3,2,2,2,1,1,1,1,1,1,3,2,2,4,1,2
23566,0,22,2,10,4,6,2,2,5,6,2,3,3,3,5,10,3,3,1,2,4,1,1,1,1,1,1,1,8,3,3,4,2
23622,0,34,8,6,8,5,4,1,8,8,9,9,5,6,8,3,5,3,1,1,1,3,3,2,3,8,7,7,7,5,2,7,2
